rank,content_id,decline_score,reason_code,action_label,avg_position,engagement_rate,ctr,days_since_last_update,word_count,is_declining_label
50,content_14ddbb9aeb0a,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,32.1,0.0,0.0,104,1478.0,0
51,content_7e3d9c85959b,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,35.0,0.0,0.04,104,1420.0,1
52,content_c50b313c6bca,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,73.3,0.0,0.0,104,1373.0,0
53,content_52a0cf81179f,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,61.3,0.0,0.0,104,1640.0,1
54,content_75a92952cd1d,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,33.0,0.0,0.0,104,,0
55,content_408182a26b97,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,18.9,0.0,0.0,104,3403.0,1
56,content_a247759cb944,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,33.2,0.49,0.03,104,5896.0,1
57,content_8b398358b583,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,31.3,0.98,0.08,104,6399.0,1
58,content_0933318d2e25,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,29.3,0.0,0.0,104,,0
59,content_dd413158df3c,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,46.1,0.0,0.0,305,,0
60,content_11267b0c9023,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,42.0,1.25,0.04,104,5010.0,0
61,content_cd3e816c670d,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,20.8,0.0,0.0,104,6492.0,1
62,content_179cc5f6aead,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,27.6,1.75,0.0,104,,0
63,content_3cdff06e3724,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,35.3,0.89,0.04,104,5647.0,0
64,content_155896ac7d72,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,37.0,0.0,0.0,104,1683.0,0
65,content_b6252ab3a378,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,50.6,0.0,0.0,104,1515.0,1
66,content_b5ae70dec0d7,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,22.9,0.0,0.05,104,6308.0,1
67,content_b2bbfbb8f29b,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,24.8,0.0,0.07,104,5802.0,1
68,content_4fa57f97e29b,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,50.7,0.0,0.0,104,,1
69,content_3ae6324ffbab,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,44.5,0.0,0.0,104,,0
70,content_2f63ec48a481,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,35.2,1.05,0.03,104,2994.0,1
71,content_3dc73ae46c7f,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,42.3,0.0,0.0,104,5835.0,1
72,content_0cbc4d4326d5,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,25.0,0.0,0.0,104,1692.0,0
73,content_9eea5fb7284b,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,19.9,0.0,0.09,104,,0
74,content_c34656b33f93,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,19.8,0.0,0.0,104,4340.0,1
75,content_c01efc6bf8fb,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,27.3,0.0,0.02,104,6479.0,1
76,content_c2cca3b2a2ef,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,37.0,0.0,0.01,104,4975.0,1
77,content_f9e2c51d34a5,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,19.7,0.0,0.0,104,,0
78,content_6d394c6cb663,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,32.0,0.78,0.07,104,5204.0,0
79,content_c3b109c7b1e3,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,45.7,0.0,0.0,104,,0
80,content_91bb2373c436,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,15.5,0.0,0.07,104,,0
81,content_e21f91374d63,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,57.7,0.0,0.0,104,,1
82,content_338b283a1949,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,17.5,0.0,0.0,104,2583.0,1
83,content_0de6c381c68c,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,37.9,0.0,0.0,104,1552.0,1
84,content_07c597008719,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,24.1,0.0,0.0,104,,1
85,content_bb27db63cae2,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,49.3,0.0,0.0,104,,0
86,content_f2322d5da849,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,30.1,0.0,0.04,104,6758.0,1
87,content_918ba283896e,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,33.2,0.0,0.09,104,,0
88,content_7a888d3d99c8,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,67.6,0.0,0.0,313,,1
89,content_d33fcd939876,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,16.3,0.0,0.0,104,1650.0,1
90,content_74862684dc0f,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,38.4,0.0,0.0,104,6192.0,1
91,content_cd57dbfcb318,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,23.2,0.0,0.05,104,5229.0,1
92,content_3a79e7b36ad6,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,57.7,0.0,0.0,104,1411.0,1
93,content_1e5c3bc903e3,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,39.6,0.0,0.0,104,1606.0,1
94,content_37f744bc7120,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,33.6,0.0,0.0,104,5956.0,1
95,content_a8fcdf9f6bfb,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,21.6,0.0,0.0,104,5281.0,1
96,content_9e40f2d86a76,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,82.1,0.0,0.0,104,1356.0,1
97,content_1653f5751119,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,46.9,0.0,0.0,104,,1
98,content_593f8f3b1eec,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,25.3,0.0,0.0,104,1635.0,1
99,content_655b85b8d0fc,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,21.3,0.0,0.0,104,3859.0,1
100,content_ae7c334247f9,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,16.6,0.0,0.0,104,3737.0,0
101,content_454cc6654c6e,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,44.9,0.0,0.0,104,,1
102,content_2d517e68e168,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,50.1,0.0,0.0,104,,0
103,content_755184483526,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,21.5,0.0,0.0,104,,1
104,content_54baba704595,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,47.0,1.42,0.01,104,5813.0,1
105,content_81b3a26a1ef6,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,24.2,0.0,0.0,104,5485.0,1
106,content_97fb1f3ff6fc,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,19.7,0.0,0.0,104,1384.0,1
107,content_5b0737bc3624,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,39.2,0.0,0.0,104,1598.0,1
108,content_d205ff5017e4,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,28.7,1.61,0.07,104,5658.0,1
109,content_f57df93d1a2a,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,35.0,0.0,0.0,104,6726.0,1
110,content_b06618bdd6da,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,30.8,0.0,0.07,104,4449.0,1
111,content_f2beaecceaa0,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,49.6,0.0,0.0,104,,0
112,content_3edb8fc78adb,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,38.2,0.0,0.0,104,,0
113,content_074ba6ead17b,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,48.0,0.0,0.0,183,3994.0,1
114,content_acd48b3cc38e,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,25.5,0.0,0.0,104,,0
115,content_882ed67f84cd,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,15.2,1.96,0.02,104,8778.0,1
116,content_bf99510210e4,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,18.7,0.0,0.0,104,,0
117,content_46bedd3baee6,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,30.6,0.0,0.02,104,5751.0,1
118,content_2d22e0215964,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,48.8,0.0,0.0,104,1586.0,0
119,content_3b821daa65f7,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,22.8,0.0,0.0,104,1629.0,1
120,content_63e487a137fc,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,30.0,0.0,0.09,104,,1
121,content_7b8fb5ad4f74,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,68.0,0.0,0.0,144,4212.0,0
122,content_e296ad157f69,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,25.8,0.45,0.08,104,5419.0,1
123,content_fdbebc902050,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,47.4,0.0,0.08,104,5305.0,1
124,content_46fbbacc0596,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,27.7,0.0,0.0,104,1471.0,1
125,content_34dd57e8b6f9,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,43.2,0.0,0.0,104,,1
126,content_049e9c466e09,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,37.0,0.0,0.0,104,3102.0,1
127,content_cb7506ff5078,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,56.7,0.0,0.0,104,6455.0,0
128,content_8b562004ae15,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,37.5,0.0,0.0,104,,1
129,content_5e898a63bff9,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,39.9,0.42,0.09,104,5273.0,0
130,content_dbb8224e0376,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,31.1,1.7,0.06,104,5921.0,1
131,content_8b7dca94e0ff,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,28.5,0.0,0.0,104,,0
132,content_ce89c78c756e,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,59.7,0.0,0.03,104,1554.0,1
133,content_5db0cb7c1a94,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,20.2,0.0,0.09,104,5831.0,1
134,content_fbc28af64aca,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,45.0,0.0,0.0,104,,0
135,content_4d9ab09aad97,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,80.0,0.0,0.0,104,1444.0,0
136,content_e3c6685b17a8,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,48.5,0.0,0.0,104,1273.0,1
137,content_2683576f0bfd,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,39.1,0.0,0.02,104,4594.0,1
138,content_9903bd14be6c,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,35.9,0.0,0.08,104,1492.0,1
139,content_6923971918f3,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,47.5,0.0,0.02,104,5832.0,1
140,content_f07655587c60,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,18.6,0.0,0.0,104,1583.0,1
141,content_705f068125f0,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,23.4,0.0,0.0,104,1696.0,1
142,content_6f24984bd099,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,21.2,0.0,0.0,104,,1
143,content_1ebc155d3d9b,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,23.7,0.0,0.0,104,1543.0,1
144,content_1e8568816fa2,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,20.3,0.0,0.0,104,982.0,0
145,content_581f85ef23d3,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,69.2,0.0,0.07,104,5602.0,1
146,content_452a4e18212c,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,24.2,0.0,0.04,106,2837.0,1
147,content_727ff68ce113,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,21.8,0.0,0.0,104,6805.0,1
148,content_8189ba254e13,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,20.0,0.0,0.0,104,3603.0,1
149,content_9ccde0aa7214,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,37.2,0.0,0.0,104,,0
150,content_7c13c8d483ed,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,16.9,0.0,0.0,104,,0
151,content_e2f7d7d52240,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,16.2,0.0,0.0,104,5563.0,1
152,content_c514066ce7a8,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,40.7,0.0,0.0,104,1436.0,1
153,content_ae5613a02ebc,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,37.7,0.0,0.0,104,5298.0,1
154,content_4f1aef683b3f,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,24.3,0.0,0.0,104,1434.0,1
155,content_dc9b1bdd6fd2,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,18.3,0.0,0.0,104,1651.0,1
156,content_01c85c6f8b6d,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,25.4,0.0,0.0,104,5390.0,0
157,content_a9b751a2d0fc,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,42.0,1.1,0.08,104,6780.0,0
158,content_1ea796997f23,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,20.7,0.0,0.06,104,,0
159,content_1b264c53a41d,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,18.4,0.0,0.0,104,3618.0,1
160,content_36374ba84bf7,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,19.9,0.0,0.0,104,1247.0,0
161,content_e454bc31017a,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,27.6,0.0,0.07,104,6119.0,1
162,content_aea3a584f264,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,25.5,0.0,0.0,104,,1
163,content_f876921d2dbc,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,16.3,0.0,0.0,104,6373.0,1
164,content_1033787c1e0e,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,33.1,0.0,0.0,92,1430.0,1
165,content_e26d05e33dad,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,76.4,0.0,0.0,104,,0
166,content_bb4ee5775b44,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,24.6,0.0,0.0,104,,0
167,content_9c641fc89092,0.9999999999999999,"POOR_RANK,LOW_ENGAGEMENT,STALE,LOW_CTR",REFRESH,34.2,0.0,0.0,104,1250.0,1
